time,gaikei_value,naikei_value,okuri_velocity,hiki_velocity,H1PV,H2PV,H3PV,H4-1PV,H4-2PV,H4-3PV,H4-4PV,H5PV,H6PV,H7PV,H1MV,H2MV,H3MV,H4-1MV,H4-2MV,H4-3MV,H4-4MV,H5MV,H6MV,H7MV,roshinkann_PV1,roshinkann_PV2,roshinkann_PV3,roshinkann_PV4,roshinkann_PV5,roshinkann_PV6,roshinkann_PV7,roshinkann_PV8,roshinkann_PV9,roshinkann_PV10
2022-02-14 10:08:38,1.801,0.0,0.0,0.0,743.1,781.0,827.3,882.3,899.0,899.4,887.5,822.0,755.2,724.8,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.3,894.7,892.9,890.4,891.6,835.4,786.2,745.3
2022-02-14 10:08:39,1.801,0.0,0.0,0.0,743.1,781.0,827.3,882.3,899.0,899.4,887.5,822.0,755.2,724.8,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.3,894.7,892.8,890.4,891.6,835.4,786.2,745.3
2022-02-14 10:08:40,1.801,0.0,0.0,0.0,743.1,781.0,827.3,882.3,899.0,899.4,887.5,822.0,755.2,724.8,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.3,894.7,892.8,890.4,891.6,835.4,786.2,745.3
2022-02-14 10:08:41,1.801,0.0,0.0,0.0,743.1,781.0,827.3,882.3,899.0,899.4,887.5,822.0,755.2,724.8,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.3,894.7,892.8,890.4,891.6,835.4,786.2,745.3
2022-02-14 10:08:42,1.801,0.0,0.0,0.0,743.1,781.0,827.3,882.3,899.0,899.4,887.5,822.0,755.2,724.8,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.3,894.7,892.8,890.4,891.6,835.4,786.2,745.3
2022-02-14 10:08:43,1.801,0.0,0.0,0.0,743.2,781.0,827.3,882.3,899.0,899.4,887.5,822.0,755.2,724.9,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.4,894.7,892.8,890.4,891.7,835.4,786.2,745.3
2022-02-14 10:08:44,1.801,0.0,0.0,0.0,743.2,781.0,827.3,882.3,899.0,899.4,887.5,822.0,755.2,724.9,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.4,894.7,892.8,890.4,891.7,835.4,786.2,745.4
2022-02-14 10:08:45,1.801,0.0,0.0,0.0,743.2,781.0,827.3,882.3,899.0,899.4,887.5,822.0,755.3,724.9,26.8,23.0,22.3,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.4,894.7,892.7,890.4,891.7,835.5,786.2,745.4
2022-02-14 10:08:46,1.801,0.0,0.0,0.0,743.2,781.0,827.3,882.3,899.0,899.5,887.5,822.1,755.3,724.9,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.4,894.6,892.7,890.4,891.7,835.5,786.2,745.4
2022-02-14 10:08:47,1.801,0.0,0.0,0.0,743.1,781.0,827.3,882.3,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.5,744.3,791.5,841.4,894.6,892.7,890.4,891.7,835.5,786.2,745.5
2022-02-14 10:08:48,1.801,0.0,0.0,0.0,743.1,781.0,827.3,882.3,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.3,791.5,841.3,894.6,892.7,890.4,891.7,835.5,786.2,745.5
2022-02-14 10:08:49,1.801,0.0,0.0,0.0,743.1,780.9,827.3,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.3,791.5,841.3,894.6,892.6,890.4,891.7,835.5,786.2,745.5
2022-02-14 10:08:50,1.801,0.0,0.0,0.0,743.1,780.9,827.3,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.5,841.3,894.6,892.6,890.4,891.7,835.5,786.2,745.5
