éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP,ó¨ó ÇQ,ó¨ó ÇR
2022-01-07 16:18:54.231394,171,232,261,35.52,0.0,0.0
2022-01-07 16:22:36.016886,170,233,266,35.51,0.0,0.0
2022-01-07 16:22:37.010952,174,233,267,35.49,0.0,0.0
2022-01-07 16:22:38.010012,174,234,261,35.46,0.0,0.0
2022-01-07 16:22:39.028739,169,232,264,35.6,0.0,0.0
2022-01-07 16:22:40.022114,175,234,266,35.56,0.0,0.0
2022-01-07 16:22:41.045110,169,233,260,35.46,0.0,0.0
2022-01-07 16:22:42.010451,173,233,261,35.52,0.0,0.0
2022-01-07 16:22:43.010526,173,230,265,35.54,0.0,0.0
2022-01-07 16:22:44.027601,171,233,262,35.56,0.0,0.0
2022-01-07 16:22:45.041568,173,234,265,35.45,0.0,0.0
2022-01-07 16:22:46.045825,173,232,262,35.56,0.0,0.0
2022-01-07 16:22:47.020008,174,232,262,35.6,0.0,0.0
2022-01-07 16:22:48.039802,172,234,262,35.6,0.0,0.0
2022-01-07 16:22:49.016256,171,232,263,35.49,0.0,0.0
2022-01-07 16:22:50.006856,173,232,264,35.46,0.0,0.0
2022-01-07 16:22:51.006453,170,232,262,35.68,0.0,0.0
2022-01-07 16:22:52.034722,174,233,267,35.48,0.0,0.0
2022-01-07 16:22:53.022288,169,233,270,35.67,0.0,0.0
2022-01-07 16:22:54.024984,171,232,261,35.51,0.0,0.0
2022-01-07 16:22:55.021775,173,232,263,35.65,0.0,0.0
2022-01-07 16:22:56.019883,171,233,264,35.37,0.0,0.0
2022-01-07 16:22:57.019168,170,233,265,35.56,0.0,0.0
2022-01-07 16:22:58.015172,171,232,267,35.67,0.0,0.0
2022-01-07 16:22:59.026721,174,232,264,35.37,0.0,0.0
2022-01-07 16:23:01.010782,171,232,265,35.51,0.0,0.0
2022-01-07 16:23:02.013201,169,236,265,35.59,0.0,0.0
2022-01-07 16:23:03.033211,172,233,263,35.59,0.0,0.0
2022-01-07 16:23:04.020002,172,233,261,35.51,0.0,0.0
2022-01-07 16:23:05.025171,171,233,267,35.54,0.0,0.0
2022-01-07 16:23:06.025645,170,232,263,35.52,0.0,0.0
2022-01-07 16:23:07.025493,170,233,261,35.46,0.0,0.0
2022-01-07 16:23:08.024056,169,237,261,35.56,0.0,0.0
2022-01-07 16:23:09.023841,174,232,264,35.49,0.0,0.0
2022-01-07 16:25:19.008162,171,233,262,35.46,0.0,0.0
2022-01-07 16:25:20.030720,172,234,265,35.49,0.0,0.0
2022-01-07 16:25:21.014677,175,233,265,35.65,0.0,0.0
2022-01-07 16:25:22.007516,171,232,266,35.46,0.0,0.0
2022-01-07 16:25:23.016034,172,232,262,35.3,0.0,0.0
2022-01-07 16:25:24.015342,171,229,263,35.65,0.0,0.0
2022-01-07 16:25:25.011043,172,228,260,35.51,0.0,0.0
2022-01-07 16:25:26.020118,169,232,263,35.63,0.0,0.0
2022-01-07 16:25:27.013056,174,234,262,35.59,0.0,0.0
2022-01-07 16:25:28.011509,171,232,265,35.48,0.0,0.0
2022-01-07 16:25:29.008637,173,234,263,35.63,0.0,0.0
2022-01-07 16:25:30.015706,171,234,264,35.52,0.0,0.0
2022-01-07 16:25:31.010624,173,234,264,35.49,0.0,0.0
2022-01-07 16:25:32.031477,171,232,262,35.41,0.0,0.0
2022-01-07 16:25:33.032462,170,235,263,35.49,0.0,0.0
2022-01-07 16:25:34.017022,170,232,265,35.46,0.0,0.0
2022-01-07 16:25:35.011676,173,232,265,35.41,0.0,0.0
2022-01-07 16:25:36.009447,169,233,269,35.38,0.0,0.0
2022-01-07 16:25:37.020444,173,233,263,35.49,0.0,0.0
2022-01-07 16:25:38.018553,169,233,261,35.57,0.0,0.0
2022-01-07 16:25:39.009769,175,231,263,35.52,0.0,0.0
2022-01-07 16:25:40.022794,171,234,265,35.52,0.0,0.0
2022-01-07 16:25:41.011109,173,232,260,35.67,0.0,0.0
2022-01-07 16:25:42.020037,169,232,262,35.62,0.0,0.0
2022-01-07 16:25:43.011928,171,232,264,35.52,0.0,0.0
2022-01-07 16:25:44.003922,170,234,266,35.51,0.0,0.0
2022-01-07 16:25:45.007947,170,233,261,35.43,0.0,0.0
2022-01-07 16:25:46.015141,171,235,261,35.51,0.0,0.0
2022-01-07 16:25:47.025287,169,232,260,35.6,0.0,0.0
2022-01-07 16:25:48.014710,170,233,262,35.6,0.0,0.0
2022-01-07 16:25:49.026123,170,234,263,35.41,0.0,0.0
2022-01-07 16:25:50.019223,173,235,262,35.49,0.0,0.0
2022-01-07 16:25:59.006117,172,232,261,35.57,0.0,0.0
2022-01-07 16:26:00.043911,173,232,263,35.51,0.0,0.0
2022-01-07 16:26:01.019504,170,233,264,35.63,0.0,0.0
2022-01-07 16:26:02.009513,169,233,265,35.67,0.0,0.0
2022-01-07 16:26:03.036257,171,232,263,35.67,0.0,0.0
2022-01-07 16:26:04.017267,170,233,263,35.46,0.0,0.0
2022-01-07 16:26:05.009643,171,234,262,35.49,0.0,0.0
2022-01-07 16:26:06.016973,171,233,262,35.62,0.0,0.0
2022-01-07 16:26:07.005234,170,232,268,35.41,0.0,0.0
2022-01-07 16:26:08.017576,172,229,265,35.43,0.0,0.0
2022-01-07 16:26:09.037086,174,234,262,35.54,0.0,0.0
2022-01-07 16:26:10.019845,171,232,262,35.52,0.0,0.0
2022-01-07 16:26:11.059386,171,233,262,35.57,0.0,0.0
2022-01-07 16:26:12.019390,173,232,263,35.49,0.0,0.0
2022-01-07 16:26:13.013065,171,234,260,35.57,0.0,0.0
2022-01-07 16:26:14.008853,172,234,263,35.48,0.0,0.0
2022-01-07 16:26:15.019041,171,232,266,35.48,0.0,0.0
2022-01-07 16:26:16.018251,175,233,262,35.6,0.0,0.0
