éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP
2021-11-10 16:04:09.793926,1,1,1,1
2021-11-10 16:05:14.020649,1,1,1,1
2021-11-10 16:05:15.011604,1,1,1,1
2021-11-10 16:05:16.023698,1,1,1,1
2021-11-10 16:05:17.020999,1,1,1,1
2021-11-10 16:05:18.016190,1,1,1,1
2021-11-10 16:05:19.018017,1,1,1,1
2021-11-10 16:05:20.017775,1,1,1,1
2021-11-10 16:05:21.019059,1,1,1,1
2021-11-10 16:05:22.018173,1,1,1,1
2021-11-10 16:05:23.013672,1,1,1,1
2021-11-10 16:05:24.012951,1,1,1,1
2021-11-10 16:05:25.018706,1,1,1,1
2021-11-10 16:05:26.013210,1,1,1,1
2021-11-10 16:05:27.020475,1,1,1,1
2021-11-10 16:05:28.010513,1,1,1,1
2021-11-10 16:38:01.008133,1,1,1,1
2021-11-10 16:38:02.016657,1,1,1,1
2021-11-10 16:38:03.011321,1,1,1,1
2021-11-10 16:38:04.009566,1,1,1,1
2021-11-10 16:38:05.018522,1,1,1,1
2021-11-10 16:38:06.009590,1,1,1,1
2021-11-10 16:38:07.013472,1,1,1,1
2021-11-10 16:38:08.017135,1,1,1,1
2021-11-10 16:38:09.019009,1,1,1,1
2021-11-10 16:38:10.013384,1,1,1,1
2021-11-10 16:38:11.013580,1,1,1,1
2021-11-10 16:38:58.021325,1,1,1,1
2021-11-10 16:38:59.010142,1,1,1,1
2021-11-10 16:39:01.003472,1,1,1,1
2021-11-10 16:39:02.019391,1,1,1,1
2021-11-10 16:39:03.022885,1,1,1,1
2021-11-10 16:39:04.022697,1,1,1,1
2021-11-10 16:39:05.015792,1,1,1,1
2021-11-10 16:39:06.021518,1,1,1,1
2021-11-10 16:39:18.006031,1,1,1,1
2021-11-10 16:39:19.017358,1,1,1,1
2021-11-10 16:39:20.016821,1,1,1,1
2021-11-10 16:39:21.005906,1,1,1,1
2021-11-10 16:39:22.013403,1,1,1,1
2021-11-10 16:39:23.019465,1,1,1,1
2021-11-10 16:39:24.006321,1,1,1,1
2021-11-10 16:39:25.009326,1,1,1,1
2021-11-10 16:39:26.005287,1,1,1,1
2021-11-10 16:39:27.002181,1,1,1,1
2021-11-10 16:39:28.019336,1,1,1,1
2021-11-10 16:39:29.015454,1,1,1,1
2021-11-10 16:41:36.010749,1,1,1,1
2021-11-10 16:41:37.026036,1,1,1,1
2021-11-10 16:41:38.013688,1,1,1,1
2021-11-10 16:41:39.014977,1,1,1,1
2021-11-10 16:41:40.009322,1,1,1,1
2021-11-10 16:41:41.014198,1,1,1,1
2021-11-10 16:41:42.030776,1,1,1,1
2021-11-10 16:41:43.032844,1,1,1,1
2021-11-10 16:41:44.035280,1,1,1,1
2021-11-10 16:41:45.037082,1,1,1,1
2021-11-10 16:47:48.024328,1,1,1,1
2021-11-10 16:47:49.014365,1,1,1,1
2021-11-10 16:47:50.012177,1,1,1,1
2021-11-10 16:47:51.034873,1,1,1,1
2021-11-10 16:47:52.008593,1,1,1,1
2021-11-10 16:47:53.005399,1,1,1,1
2021-11-10 16:47:54.014210,1,1,1,1
2021-11-10 16:47:55.017724,1,1,1,1
2021-11-10 16:47:56.002188,1,1,1,1
2021-11-10 16:47:57.025762,1,1,1,1
2021-11-10 16:47:58.002747,1,1,1,1
2021-11-10 16:47:59.036771,1,1,1,1
