ŽžŠÔ,‰ñ“]‚P,‰ñ“]‚Q,‰ñ“]‚R
2022-01-07 08:37:28.540898,0.0,0.0,0.0
2022-01-07 08:37:29.527176,0.0,0.0,0.0
2022-01-07 08:37:30.525496,0.0,0.0,0.0
2022-01-07 08:37:31.525110,0.0,0.0,0.0
2022-01-07 08:37:32.512229,0.0,0.0,0.0
2022-01-07 08:37:33.517890,0.0,0.0,0.0
2022-01-07 08:37:34.518692,0.0,0.0,0.0
2022-01-07 08:38:05.522438,0.0,0.0,0.0
2022-01-07 08:38:06.523318,0.0,0.0,0.0
2022-01-07 08:38:07.523052,0.0,0.0,0.0
2022-01-07 08:38:08.524319,0.0,0.0,0.0
2022-01-07 08:38:09.517656,0.0,0.0,0.0
2022-01-07 08:38:10.514259,0.0,0.0,0.0
2022-01-07 08:38:11.508097,0.0,0.0,0.0
2022-01-07 08:38:12.511124,0.0,0.0,0.0
2022-01-07 08:38:13.526014,0.0,0.0,0.0
2022-01-07 08:42:10.757017,0.0,0.0,0.0
