ŽžŠÔ,‰ñ“]‚P,‰ñ“]‚Q,‰ñ“]‚R
2021-12-15 14:05:28.147525,1,1,1
2021-12-15 14:06:49.640897,1,1,1
2021-12-15 14:11:26.637072,1,1,1
2021-12-15 14:11:37.173812,1,1,1
2021-12-15 14:12:22.511022,1,1,1
2021-12-15 14:12:23.008400,1,1,1
2021-12-15 14:12:23.539806,1,1,1
2021-12-15 14:12:24.007499,1,1,1
2021-12-15 14:12:24.511997,1,1,1
2021-12-15 14:12:25.047015,1,1,1
2021-12-15 14:12:25.520756,1,1,1
2021-12-15 14:12:26.012052,1,1,1
2021-12-15 14:12:26.515580,1,1,1
2021-12-15 14:12:27.015014,1,1,1
2021-12-15 14:12:27.503562,1,1,1
2021-12-15 14:12:28.031336,1,1,1
2021-12-15 14:12:28.514125,1,1,1
2021-12-15 14:12:29.021733,1,1,1
2021-12-15 14:12:29.511314,1,1,1
2021-12-15 14:12:30.029462,1,1,1
2021-12-15 14:12:30.511616,1,1,1
2021-12-15 14:12:31.008456,1,1,1
2021-12-15 14:12:31.507665,1,1,1
2021-12-15 14:12:32.011169,1,1,1
2021-12-15 14:12:32.525118,1,1,1
2021-12-15 14:12:33.017261,1,1,1
2021-12-15 14:12:33.525665,1,1,1
2021-12-15 14:12:34.007736,1,1,1
2021-12-15 14:12:34.504211,1,1,1
2021-12-15 14:12:35.029024,1,1,1
2021-12-15 14:16:28.518306,1,1,1
2021-12-15 14:16:29.514985,1,1,1
2021-12-15 14:16:30.504399,1,1,1
2021-12-15 14:16:31.520361,1,1,1
2021-12-15 14:16:32.510741,1,1,1
2021-12-15 14:16:33.516918,1,1,1
2021-12-15 14:16:34.511327,1,1,1
2021-12-15 14:16:35.514320,1,1,1
2021-12-15 14:16:36.524642,1,1,1
2021-12-15 14:16:37.519372,1,1,1
2021-12-15 14:16:38.528523,1,1,1
2021-12-15 14:16:39.521202,1,1,1
2021-12-15 14:44:35.879149,1,1,1
2021-12-15 14:46:30.017303,1,1,1
2021-12-15 14:46:30.510063,1,1,1
2021-12-15 14:46:31.018704,1,1,1
2021-12-15 14:46:31.502149,1,1,1
2021-12-15 14:46:32.030417,1,1,1
2021-12-15 14:46:32.508352,1,1,1
2021-12-15 14:46:33.005826,1,1,1
2021-12-15 14:46:33.530972,1,1,1
2021-12-15 14:46:34.004964,1,1,1
2021-12-15 14:46:34.508648,1,1,1
2021-12-15 14:46:35.005855,1,1,1
2021-12-15 14:46:35.537536,1,1,1
2021-12-15 14:46:36.021139,1,1,1
2021-12-15 14:46:36.520198,1,1,1
2021-12-15 14:46:37.034731,1,1,1
2021-12-15 14:46:37.518260,1,1,1
2021-12-15 14:46:38.015001,1,1,1
2021-12-15 14:46:38.519758,1,1,1
2021-12-15 14:46:39.010587,1,1,1
2021-12-15 14:46:39.511862,1,1,1
2021-12-15 14:46:40.031924,1,1,1
2021-12-15 14:46:40.519023,1,1,1
2021-12-15 14:46:41.026029,1,1,1
2021-12-15 14:46:41.519692,1,1,1
2021-12-15 14:46:42.035932,1,1,1
2021-12-15 14:46:42.506838,1,1,1
2021-12-15 14:46:43.031469,1,1,1
